,Unnamed: 0,image_name,height,width,aspect_ratio,unique_id,image_size
0,0,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-3507938806_headshot-48513.jpg,340,340,1.0,gossipcop-3507938806,15592
1,1,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-3507938806_dtrjr.jpg,1296,864,0.6666666666666666,gossipcop-3507938806,264416
2,2,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-3507938806_dtrjr.jpg,1296,864,0.6666666666666666,gossipcop-3507938806,264416
3,3,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-8115207261_1219768.jpg,1200,630,0.525,gossipcop-8115207261,102164
4,4,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-7544598697_split_vaughn_shandlign_0.jpg,1296,730,0.5632716049382716,gossipcop-7544598697,150689
5,5,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-7544598697_split_vaughn_shandlign_0.jpg,1296,730,0.5632716049382716,gossipcop-7544598697,150689
6,6,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-3645597267_1000-khloe-kourtney.jpg,720,432,0.6,gossipcop-3645597267,47531
7,7,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-5241351348_8437876.jpg,300,300,1.0,gossipcop-5241351348,36300
8,8,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-5241351348_8437877_f520.jpg,520,520,1.0,gossipcop-5241351348,55122
9,9,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-5241351348_8437876_f260.jpg,260,260,1.0,gossipcop-5241351348,28743
10,10,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1363170506_alex-jennifer.jpg,1200,800,0.6666666666666666,gossipcop-1363170506,170137
11,11,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1363170506_alex-jennifer.jpg,1200,800,0.6666666666666666,gossipcop-1363170506,170137
12,12,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-845812_nba-lebron-2020-0206-usatsi-170.jpg,170,170,1.0,gossipcop-845812,35776
13,13,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-845812_kobe1400.jpg,1200,675,0.5625,gossipcop-845812,18990
14,14,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-9226500572_1394582157_177658603_taylor-swift-selena-gomez-justin-bieber-zoom.jpg,200,113,0.565,gossipcop-9226500572,14238
15,15,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-9226500572_1394582157_177658603_taylor-swift-selena-gomez-justin-bieber-300.jpg,300,178,0.5933333333333334,gossipcop-9226500572,31131
16,16,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-8793541744_gettyimages-504235864.jpg,720,379,0.5263888888888889,gossipcop-8793541744,25024
17,17,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-8793541744_gettyimages-504235864.jpg,720,379,0.5263888888888889,gossipcop-8793541744,25024
18,18,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1656905825_brad-pitt-is-so-cute.jpg,630,906,1.438095238095238,gossipcop-1656905825,42290
19,19,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-9746788878_300.jpg,600,315,0.525,gossipcop-9746788878,25883
20,20,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-9746788878_560.jpg,560,415,0.7410714285714286,gossipcop-9746788878,42234
21,21,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-861212_ariel-winter-levi-matching-tattoos-ftr.jpg,620,349,0.5629032258064516,gossipcop-861212,75469
22,22,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-861212_ariel-winter-levi-matching-tattoos-embed-1.jpg,600,919,1.5316666666666667,gossipcop-861212,104667
23,23,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-861212_ariel-winter-levi-matching-tattoos-ftr.jpg,620,349,0.5629032258064516,gossipcop-861212,75469
24,24,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1020220396_441f4572d6885d039bac1d33c22a08ce_xl.jpg,1200,675,0.5625,gossipcop-1020220396,111198
25,25,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-5977707329_katie20holmes20jamie20fox20ap20picture20group.jpg,1024,576,0.5625,gossipcop-5977707329,635129
26,26,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-5977707329_katie20holmes20jamie20fox20ap20picture20group.jpg,1024,576,0.5625,gossipcop-5977707329,635129
27,27,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-7262259263_video-5.jpg,380,236,0.6210526315789474,gossipcop-7262259263,52214
28,28,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-7262259263_wcs-location.jpg,1350,900,0.6666666666666666,gossipcop-7262259263,307361
29,29,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-4291525988_03Today-facebookJumbo.jpg,1050,550,0.5238095238095238,gossipcop-4291525988,126477
30,30,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-4291525988_30-Rutenberg-sub2-videoSixteenByNine3000.jpg,3000,1687,0.5623333333333334,gossipcop-4291525988,768729
31,31,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-4291525988_merlin_130695032_9202f8df-6660-470a-8f0d-0660ca3ba186-articleLarge.jpg,600,400,0.6666666666666666,gossipcop-4291525988,33561
32,32,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-562893178_davidbeckham-cropped_1kbzrlw1k1r391k4a7w5nmejgb.jpg,190,107,0.5631578947368421,gossipcop-562893178,3651
33,33,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-4728026144_scarjo20bobby20flay20reuters.jpg,1280,720,0.5625,gossipcop-4728026144,724661
34,34,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-4728026144_scarjo20bobby20flay20reuters.jpg,1280,720,0.5625,gossipcop-4728026144,724661
35,35,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-843637_shutterstock_8588040bh-696x1001.jpg,696,1001,1.4382183908045978,gossipcop-843637,113943
36,36,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-843637_shutterstock_8588040bh.jpg,2085,3000,1.4388489208633093,gossipcop-843637,1210680
37,37,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-843462_GettyImages-870070118-e1550374395257.jpg,384,308,0.8020833333333334,gossipcop-843462,15272
38,38,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-8303742689_1280_Ariel_Winter_levi_meaden_Getty_AlbertoRodriguez_633034626.jpg,1280,720,0.5625,gossipcop-8303742689,122364
39,39,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-8303742689_1280_Ariel_Winter_levi_meaden_Getty_AlbertoRodriguez_633034626.jpg,1280,720,0.5625,gossipcop-8303742689,122364
40,40,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-777705305_miranda-lambert-blake-shelton-country-music-feud-pp.jpg,640,420,0.65625,gossipcop-777705305,171679
41,41,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-777705305_miranda-lambert-blake-shelton-country-music-feud-pp.jpg,640,420,0.65625,gossipcop-777705305,171679
42,42,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1711006420_24.jpg,455,386,0.8483516483516483,gossipcop-1711006420,156211
43,43,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-4937511661_6b8ffce55dc7598fadde61801509d290_xl.jpg,1200,675,0.5625,gossipcop-4937511661,98764
44,44,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1212049133_331440.jpg,898,701,0.7806236080178174,gossipcop-1212049133,99327
45,45,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1212049133_969267.jpg,750,445,0.5933333333333334,gossipcop-1212049133,53003
46,46,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-855626_cw.jpg,669,779,1.164424514200299,gossipcop-855626,54838
47,47,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-855616_kim-kardashian-kris-jenner-700x466.jpg,700,466,0.6657142857142857,gossipcop-855616,41744
48,48,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-855616_John-Legend-Chrissy-Teigens-Super-Bowl-Commercial-Gets-Re-Edited-Out-Of-Respect-For-Kobe-Bryant-700x466.jpg,700,466,0.6657142857142857,gossipcop-855616,30533
49,49,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-855616_Check-Out-What-Chrissy-Teigen-Was-Doing-During-John-Legends-2017-Billboard-Music-Awards-Performance.jpg,1280,720,0.5625,gossipcop-855616,180579
50,50,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-7607762945_rs_600x600-170219152647-600.jpg,600,467,0.7783333333333333,gossipcop-7607762945,26162
51,51,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-7607762945_rs_1024x759-170219152647-1024.jpg,1024,759,0.7412109375,gossipcop-7607762945,62830
52,52,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-7607762945_rcm_20161213_voight_255442_560x315_831017539781.jpg,192,108,0.5625,gossipcop-7607762945,4602
53,53,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-6100799526_nicole-vs-reese.jpg,1500,1000,0.6666666666666666,gossipcop-6100799526,834982
54,54,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-275670342_kate-middleton-prince-william-ski-trip.jpg,1280,720,0.5625,gossipcop-275670342,164231
55,55,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-275670342_kate-middleton-prince-william-ski-trip.jpg,1280,720,0.5625,gossipcop-275670342,164231
56,56,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-158160541_nicole-kidman-keith-urban-emergency-retreat-blast.jpg,750,421,0.5613333333333334,gossipcop-158160541,132998
57,57,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-846150_5ebc5bdf3352aa7a543fcb13415b0af1a975a1ce.jpg,600,300,0.5,gossipcop-846150,78321
58,58,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-846150_5ebc5bdf3352aa7a543fcb13415b0af1a975a1ce.jpg,600,300,0.5,gossipcop-846150,78321
59,59,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-846150_7d1987f301a619122ca8538d3e4188a77648e1f0.jpg,1920,600,0.3125,gossipcop-846150,318947
60,60,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-845760_ryan-murphy-fx-tca.jpg,700,393,0.5614285714285714,gossipcop-845760,175266
61,61,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-845760_ryan-murphy-fx-tca.jpg,700,393,0.5614285714285714,gossipcop-845760,175266
62,62,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-1044110130_blac-chyna.jpg,588,360,0.6122448979591837,gossipcop-1044110130,280189
63,63,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-843522_12-friends.jpg,1200,630,0.525,gossipcop-843522,273494
64,64,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/real_gossipcop-843522_12-friends.jpg,1200,630,0.525,gossipcop-843522,273494
65,65,/media/data_dump/Shivangi/Mudit/dataset/gossipcop/gossipcop_images/fake_gossipcop-4306645282_gettyimages-960634926.jpg,2465,1643,0.6665314401622718,gossipcop-4306645282,302690
